ProductID,ProductName,Category,Price,Demand
1,Organic Whole Milk,Grocery,4.99,0.8
2,Whole Wheat Bread,Grocery,3.49,0.7
3,Eggs (Dozen),Grocery,4.29,0.75
4,Chobani Yogurt,Grocery,1.29,0.65
5,Bananas (1lb),Grocery,0.59,0.85
6,Orange Juice,Grocery,3.99,0.6
7,Ground Coffee,Grocery,7.99,0.55
8,Chicken Breast,Grocery,8.99,0.5
9,Pasta,Grocery,1.99,0.7
10,Ice Cream,Grocery,5.99,0.65
11,Coca-Cola 12pk,Grocery,6.99,0.6
12,Potatoes (5lb),Grocery,3.99,0.5
13,Cheddar Cheese,Grocery,5.49,0.45
14,Frozen Pizza,Grocery,6.99,0.55
15,Fresh Salad,Grocery,7.99,0.4
16,iPhone 15 Pro,Electronics,999.0,0.25
17,MacBook Air M2,Electronics,1099.0,0.2
18,Sony WH-1000XM5,Electronics,399.99,0.3
19,Samsung Galaxy S23,Electronics,799.99,0.28
20,PlayStation 5,Electronics,499.99,0.22
21,Nintendo Switch OLED,Electronics,349.99,0.26
22,Dyson V15 Vacuum,Electronics,699.99,0.18
23,GoPro HERO11,Electronics,499.99,0.15
24,iPad Pro,Electronics,799.0,0.2
25,Apple Watch Ultra,Electronics,799.0,0.19
26,Nike Air Force 1,Clothing,110.0,0.35
27,Levi's 501 Jeans,Clothing,69.5,0.4
28,North Face Jacket,Clothing,199.99,0.25
29,Adidas T-Shirt,Clothing,25.0,0.5
30,Calvin Klein Underwear,Clothing,32.99,0.45
31,Ralph Lauren Polo,Clothing,89.99,0.3
32,Zara Blazer,Clothing,129.99,0.22
33,H&M Dress,Clothing,39.99,0.38
34,Under Armour Hoodie,Clothing,59.99,0.32
35,Puma Running Shorts,Clothing,34.99,0.28
